Customer,State,Customer Lifetime Value,Response,Coverage,Coverage Index,Education,Education Index,Effective To Date,Employment Status,Employment Status Index,Gender,Income,Location,Location Index,Marital Status,Marital Status Index,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy Type Index,Policy,Policy Index,Renew Offer Type,Sales Channel,Sales Channel Index,Total Claim Amount,Vehicle Class,Vehicle Class Index,Vehicle Size,Vehicle Size Index
XS44101,California,9061.6,No,Extended,1,Bachelor,2,4/2/2024,Employed,1,F,60603,Rural,0,Married,1,112,16,101,0,6,Personal Auto,0,Personal L3,2,3,Call Center,3,100.99,Four-Door Car,1,Medsize,1
WO59883,Washington,25669.54,No,Basic,0,High School or Below,0,1/19/11,Employed,1,F,40260,Suburban,1,Single,0,82,23,59,0,2,Personal Auto,0,Personal L2,1,2,Agent,2,395.28,Two-Door Car,0,Medsize,1
NT36519,California,11018.63,No,Basic,0,College,1,2/16/11,Employed,1,M,44505,Suburban,1,Married,1,142,22,95,1,4,Personal Auto,0,Personal L2,1,1,Branch,1,680.4,SUV,4,Small,0
YB58778,California,7193.93,No,Basic,0,College,1,1/30/11,Employed,1,F,109436,Rural,0,Single,0,95,27,5,4,3,Personal Auto,0,Personal L3,2,1,Agent,2,57.02,Two-Door Car,0,Large,2
IG89777,California,9931.36,No,Extended,1,High School or Below,0,9/1/2024,Employed,1,M,109546,Urban,2,Married,1,124,46,124,0,8,Corporate Auto,1,Corporate L2,4,2,Call Center,3,433.43,Two-Door Car,0,Large,2
UK25655,Oregon,4637.59,No,Extended,1,Bachelor,2,1/14/11,Employed,1,F,86870,Rural,0,Married,1,116,34,24,0,1,Personal Auto,0,Personal L2,1,2,Call Center,3,286.73,Two-Door Car,0,Medsize,1
XZ58588,Arizona,11404.53,No,Premium,2,High School or Below,0,9/1/2024,Unemployed,0,M,0,Suburban,1,Divorced,2,154,3,61,0,7,Corporate Auto,1,Corporate L2,4,1,Agent,2,738.72,Four-Door Car,1,Small,0
JR89623,California,3643.24,No,Basic,0,High School or Below,0,2/21/11,Employed,1,F,102634,Rural,0,Married,1,90,39,0,0,1,Corporate Auto,1,Corporate L3,5,2,Branch,1,203.88,Four-Door Car,1,Medsize,1
XQ44462,Oregon,3610.89,Yes,Basic,0,College,1,2/15/11,Employed,1,M,76062,Suburban,1,Single,0,93,16,120,0,1,Corporate Auto,1,Corporate L2,4,2,Call Center,3,447.12,Four-Door Car,1,Small,0
ML10022,Nevada,17817.2,Yes,Basic,0,College,1,1/27/11,Unemployed,0,F,0,Suburban,1,Single,0,92,26,3,3,2,Personal Auto,0,Personal L1,0,1,Agent,2,440.64,Four-Door Car,1,Large,2
NI88122,California,9726.78,No,Basic,0,College,1,12/2/2024,Unemployed,0,F,0,Suburban,1,Single,0,86,36,84,0,2,Corporate Auto,1,Corporate L1,3,1,Web,0,683.07,Four-Door Car,1,Small,0
MP25903,Oregon,3649.41,No,Basic,0,High School or Below,0,9/1/2024,Unemployed,0,M,0,Suburban,1,Married,1,96,8,62,0,1,Personal Auto,0,Personal L3,2,2,Agent,2,671.48,Two-Door Car,0,Small,0
LL62746,Oregon,12110.37,No,Basic,0,Doctor,4,6/2/2024,Medical Leave,2,M,17319,Urban,2,Married,1,159,45,1,0,9,Personal Auto,0,Personal L1,0,2,Call Center,3,443.11,SUV,4,Medsize,1
HI71466,California,5193.93,No,Extended,1,College,1,2/25/11,Employed,1,M,31670,Rural,0,Married,1,130,23,26,0,1,Personal Auto,0,Personal L3,2,2,Branch,1,249.85,Four-Door Car,1,Medsize,1
GA27295,California,53143.15,No,Basic,0,Master,3,1/14/11,Employed,1,F,134831,Rural,0,Divorced,2,146,16,50,0,2,Personal Auto,0,Personal L3,2,3,Call Center,3,155.21,SUV,4,Medsize,1
SC43870,California,21413.94,No,Basic,0,Bachelor,2,1/29/11,Unemployed,0,M,0,Suburban,1,Single,0,89,19,22,0,2,Corporate Auto,1,Corporate L3,5,1,Web,0,641.52,Four-Door Car,1,Medsize,1
XU49878,Washington,7285.02,No,Basic,0,Bachelor,2,2/14/11,Employed,1,M,83753,Urban,2,Married,1,92,11,41,1,8,Personal Auto,0,Personal L2,1,3,Call Center,3,358.93,Four-Door Car,1,Medsize,1
BC62782,Arizona,18327.16,No,Basic,0,College,1,1/23/11,Employed,1,F,65521,Suburban,1,Married,1,155,39,107,1,2,Personal Auto,0,Personal L3,2,4,Call Center,3,745.2,SUV,4,Small,0
